"","Parm","Average_Likelihood","ID"
"",NA,NA,NA
"result.1",0.0948297634720802,3.53312674273948e-88,100
"result.2",0.0884105533408001,1.18056870337272e-79,100
"result.3",0.0545514586404897,6.97339736550682e-120,100
"result.4",0.478605173069518,9.65666174933778e-115,100
"result.5",0.866761023872532,2.24613131797103e-117,100
"result.6",0.00727583089610562,3.02984288582581e-111,100
"result.7",0.459783256675582,3.55306314698663e-114,100
"result.8",0.221952676849905,4.20635880775721e-116,100
"result.9",0.891466545392759,2.24613001665365e-117,100
"result.10",0.384981208599638,1.07878423278893e-116,100
"result.11",0.827687243046239,2.24661163739845e-117,100
"result.12",0.662900771219283,2.24626829211329e-117,100
"result.13",0.487051427331753,6.11664217836991e-116,100
"result.14",0.910833428469487,2.24612986567514e-117,100
"result.15",0.78094377207337,2.65758155585644e-115,100
"result.16",0.655861737306695,2.2464659437737e-117,100
"result.17",0.924012787016109,2.24612986567514e-117,100
"result.18",0.0465096989902668,1.22866468348568e-147,100
"result.19",0.0662331716739573,1.49629924124855e-102,100
"result.20",0.279248331862036,3.29294799760201e-116,100
"result.21",0.436578295216896,1.20562906756931e-116,100
"result.22",0.248840770982206,4.19921958379152e-116,100
"result.23",0.418399909259751,1.07879509522329e-116,100
"result.24",0.309421631898731,2.37924425607488e-116,100
"result.25",0.57803937057266,2.24808342792685e-117,100
"result.26",0.856582946556155,2.24613360376341e-117,100
"result.27",0.595781366685405,2.24694211145641e-117,100
"result.28",0.256551903830841,4.19921958379152e-116,100
"result.29",0.0379795107268728,1.80172692163441e-165,100
"result.30",0.645690330581274,2.24646592530529e-117,100
"result.31",0.988014439549297,2.24612976549296e-117,100
"result.32",0.702144856953528,4.39444029269357e-117,100
"result.33",0.749746556151658,1.66146043365826e-114,100
"result.34",0.531736853788607,2.25080382160979e-117,100
"result.35",0.560158068959136,2.24808342792685e-117,100
"result.36",0.688894984135404,2.24877871710453e-117,100
"result.37",0.518342558043078,2.25724895144867e-117,100
"result.38",0.936405850241426,2.24612978065558e-117,100
"result.39",0.978739081695676,2.24612976703952e-117,100
"result.40",0.125946785435081,1.66516913620404e-110,100
"result.41",0.882996523578186,2.24613001665352e-117,100
"result.42",0.138401162822265,2.13898662313886e-109,100
"result.43",0.465988300901372,1.84502977704151e-114,100
"result.44",0.737103120784741,1.45535116043125e-114,100
"result.45",0.193338136738166,1.27518973161406e-113,100
"result.46",0.395821514653508,1.07878423279243e-116,100
"result.47",0.104275874758605,6.11339336615514e-82,100
"result.48",0.508682942597661,2.25724962159352e-117,100
"result.49",0.524588582848664,2.25724895144867e-117,100
"result.50",0.614259764170274,2.24694211145641e-117,100
"result.51",0.152630932098255,3.74521205325552e-115,100
"result.52",0.287901896403637,3.74692327634057e-114,100
"result.53",0.1610185475857,3.55003456960674e-115,100
"result.54",0.950834712069482,2.24612977092335e-117,100
"result.55",0.263505076065194,4.19921958379248e-116,100
"result.56",0.206996283843182,6.11378801240271e-114,100
"result.57",0.176973366835155,7.29791982248987e-116,100
"result.58",0.800664992381353,4.82768254442855e-117,100
"result.59",0.544293738417327,2.24808342792685e-117,100
"result.60",0.632500338940881,2.24646592530478e-117,100
"result.61",0.995016987046693,2.24612976549296e-117,100
"result.62",0.835298123431858,2.24613362215823e-117,100
"result.63",0.94101321154274,2.24612978065558e-117,100
"result.64",0.403671148004942,1.07878423278893e-116,100
"result.65",0.724199152307119,3.03983632258359e-115,100
"result.66",0.345147137064487,2.083638637999e-116,100
"result.67",0.588778823616449,2.24808342792685e-117,100
"result.68",0.0795301753189415,6.27758916153604e-70,100
"result.69",0.184906738111749,4.28319414075891e-116,100
"result.70",0.296474082286004,6.57509799003382e-114,100
"result.71",0.908151823584922,2.24612986567514e-117,100
"result.72",0.362597415319178,1.07878423278918e-116,100
"result.73",0.774298624100629,2.99230779978291e-117,100
"result.74",0.237578301539179,4.19922684011834e-116,100
"result.75",0.718672979988623,6.46673115263578e-115,100
"result.76",0.841376248612069,2.24616450509142e-117,100
"result.77",0.602939475378953,2.24694211145641e-117,100
"result.78",0.674122717566788,2.24626829211329e-117,100
"result.79",0.691676738308743,5.63679481897468e-117,100
"result.80",0.96717080967268,2.24612976703952e-117,100
"result.81",0.496467082186136,8.55288269558687e-116,100
