"","X","S","I","R","Kids","Adults","ID"
"1",1,1997,3,0,696,1301,100
"2",2,1994,3,0,1,2,100
"3",3,1988,6,3,2,4,100
"4",4,1980,8,1,3,5,100
"5",5,1971,9,2,4,5,100
"6",6,1943,28,5,19,9,100
"7",7,1900,43,5,27,16,100
"8",8,1809,91,14,47,44,100
"9",9,1662,147,21,82,65,100
"10",10,1440,222,35,117,105,100
"11",11,1127,313,66,118,195,100
"12",12,794,333,99,116,217,100
"13",13,524,270,126,72,198,100
"14",14,324,200,164,37,163,100
"15",15,186,138,140,32,106,100
"16",16,109,77,158,10,67,100
"17",17,65,44,135,3,41,100
"18",18,45,20,124,4,16,100
"19",19,30,15,118,1,14,100
"20",20,23,7,117,1,6,100
"21",21,21,2,90,0,2,100
"22",22,19,2,73,0,2,100
"23",23,15,4,52,0,4,100
"24",24,14,1,59,0,1,100
"25",25,12,2,63,0,2,100
"26",26,12,0,40,0,0,100
"27",27,11,1,37,0,1,100
"28",28,11,0,27,0,0,100
"29",29,11,0,33,0,0,100
"30",30,11,0,22,0,0,100
"31",31,10,1,26,0,1,100
"32",32,9,1,27,0,1,100
"33",33,9,0,12,0,0,100
"34",34,9,0,8,0,0,100
"35",35,9,0,8,0,0,100
"36",36,8,1,4,0,1,100
"37",37,8,0,8,0,0,100
"38",38,6,2,8,0,2,100
"39",39,6,0,8,0,0,100
"40",40,6,0,9,0,0,100
"41",41,6,0,8,0,0,100
"42",42,6,0,5,0,0,100
"43",43,6,0,5,0,0,100
"44",44,6,0,3,0,0,100
"45",45,6,0,3,0,0,100
"46",46,6,0,1,0,0,100
"47",47,6,0,1,0,0,100
"48",48,6,0,2,0,0,100
"49",49,6,0,5,0,0,100
"50",50,6,0,2,0,0,100
"51",51,6,0,2,0,0,100
"52",52,1997,3,0,675,1322,101
"53",53,1995,2,1,1,1,101
"54",54,1992,3,2,3,0,101
"55",55,1988,4,0,2,2,101
"56",56,1973,15,0,6,9,101
"57",57,1958,15,7,8,7,101
"58",58,1930,28,5,12,16,101
"59",59,1881,49,8,22,27,101
"60",60,1779,102,13,48,54,101
"61",61,1616,163,29,72,91,101
"62",62,1369,247,54,101,146,101
"63",63,1055,314,69,127,187,101
"64",64,716,339,101,130,209,101
"65",65,466,250,131,66,184,101
"66",66,263,203,154,48,155,101
"67",67,156,107,157,12,95,101
"68",68,89,67,173,6,61,101
"69",69,62,27,125,2,25,101
"70",70,48,14,123,3,11,101
"71",71,34,14,95,2,12,101
"72",72,26,8,104,1,7,101
"73",73,21,5,88,0,5,101
"74",74,20,1,77,0,1,101
"75",75,17,3,52,1,2,101
"76",76,14,3,46,0,3,101
"77",77,14,0,44,0,0,101
"78",78,13,1,43,0,1,101
"79",79,13,0,22,0,0,101
"80",80,11,2,31,0,2,101
"81",81,10,1,27,0,1,101
"82",82,10,0,22,0,0,101
"83",83,9,1,24,0,1,101
"84",84,9,0,20,0,0,101
"85",85,9,0,24,0,0,101
"86",86,9,0,19,0,0,101
"87",87,9,0,9,0,0,101
"88",88,9,0,7,0,0,101
"89",89,9,0,11,0,0,101
"90",90,9,0,9,0,0,101
"91",91,9,0,9,0,0,101
"92",92,9,0,7,0,0,101
"93",93,9,0,7,0,0,101
"94",94,9,0,8,0,0,101
"95",95,9,0,6,0,0,101
"96",96,9,0,0,0,0,101
"97",97,9,0,1,0,0,101
"98",98,9,0,7,0,0,101
"99",99,9,0,4,0,0,101
"100",100,9,0,5,0,0,101
"101",101,9,0,2,0,0,101
"102",102,9,0,1,0,0,101
"103",103,1997,3,0,688,1309,102
"104",104,1996,1,0,0,1,102
"105",105,1989,7,0,3,4,102
"106",106,1978,11,0,7,4,102
"107",107,1947,31,2,16,15,102
"108",108,1891,56,9,28,28,102
"109",109,1788,103,14,49,54,102
"110",110,1637,151,19,80,71,102
"111",111,1363,274,44,121,153,102
"112",112,1030,333,73,125,208,102
"113",113,703,327,110,105,222,102
"114",114,419,284,142,85,199,102
"115",115,248,171,150,33,138,102
